sample_size,iteration,vine_id,aic_vine,aic_dissmann,aic_fixed_matrix_clayton,aic_ground_truth
100,1,252038,-1994.483200,-1688.9935371817505,-1911.1842189467789,-2718.7084252730106
300,1,38899,-7110.895731,-5604.038296277655,-7032.380890945059,-8700.27138450286
600,1,252000,-14016.767374,-10676.648117935654,-14061.029331764692,-16666.03806025529
1000,1,252000,-24187.561281,-18495.518539649285,-24787.970006926702,-28147.398927667426
1500,1,252000,-37368.414607,-27042.986997410317,-38678.46439196933,-41935.48065883749
2000,1,252000,-49745.038446,-37105.84027017576,-54385.57805450911,-56627.99285230832
2500,1,252000,-63500.190948,-45424.21708104035,-63369.75615866049,-69761.35048444851
3000,1,252000,-76563.374978,-54283.65257453498,-76421.85101702288,-83820.10739900559
