sample_size,iteration,completed_chunks,total_trasgu_run_seconds,total_trasgu_run_minutes,total_trasgu_run_hours
100,1,10,4358,72.63333333333334,1.2105555555555556
300,1,10,10961,182.68333333333334,3.044722222222222
600,1,10,21446,357.43333333333334,5.957222222222223
1000,1,10,33155,552.5833333333334,9.209722222222222
1500,1,10,50220,837.0,13.95
2000,1,10,61977,1032.95,17.215833333333332
2500,1,10,77263,1287.7166666666667,21.461944444444445
3000,1,10,90328,1505.4666666666667,25.09111111111111
