vine_id,aic_vine,aic_dissmann,aic_fixed_matrix_clayton,aic_ground_truth
38899,-7110.895731,-5604.038296277655,-7032.380890945059,-8700.27138450286
252016,-7074.513935,-5153.584139623944,-7044.572896937455,-8162.779521906359
252000,-7047.956046,-5661.9022854267305,-7061.56311791264,-8446.759208003783
38899,-7123.275232,-5607.886915709851,-7120.665056028802,-8499.837333371595
38899,-6988.500589,-5280.516257066114,-7017.771638709326,-8242.184367188362
252000,-7166.684387,-5338.286552097297,-7243.128046199682,-8428.040527843454
252005,-6960.069964,-5377.994911834262,-7376.224802907816,-8234.561563640245
252000,-7235.641029,-5496.937969650208,-7676.121873444932,-8412.530296140529
252000,-6936.487722,-5299.71733419687,-6975.799186930374,-8359.631834497612
252005,-6622.025374,-5620.3053940746195,-6495.770942244778,-8428.12137742679
252000,-6747.483665,-5412.8601223599,-6799.5717236118535,-8344.812824692135
252000,-7445.807777,-5383.388331658757,-7482.9535677226895,-8347.22061448769
252000,-7129.841175,-5389.2761459000885,-7095.178903835354,-8341.97777450011
252000,-6765.024268,-5375.966178715043,-6908.516796506666,-8288.658942029826
252000,-6756.217406,-5308.951093392919,-6717.290533277719,-8238.74865206795
252000,-6916.380323,-5401.079686135145,-6898.731081953777,-8393.121651555342
252000,-6838.598943,-5546.39653228669,-6975.1688589737605,-8265.10549285568
252014,-6543.417241,-5425.594132488495,-6495.5427173244025,-8143.943515345107
252015,-7077.335972,-5602.148123869662,-7172.083752207119,-8388.145675576554
252000,-7298.815776,-5416.241033209323,-7276.223969719711,-8359.08048262516
252018,-6639.150514,-5263.5380345507865,-6648.815528398629,-8250.36693902811
252000,-6999.602776,-5265.250730656461,-6908.257616067161,-8166.095468696725
252002,-7109.169678,-5484.9125804161595,-7062.874467958272,-8367.13600175162
252017,-7146.747942,-5764.888643940029,-7096.6976682591885,-8574.951732347472
252000,-7271.666539,-5453.102909846244,-7557.931154175429,-8442.602827713676
252002,-6992.853789,-5470.130538279754,-6929.519614405659,-8501.669950304447
252000,-7280.559385,-5558.608620583357,-7289.398754222326,-8380.664011868852
252000,-7737.490000,-5841.606306650262,-7770.142635868208,-8910.227178622818
252014,-6772.657973,-5202.104286723749,-6860.307390711621,-8003.432004309132
252000,-6748.829561,-5146.342752750607,-6643.399388906821,-8227.469333589394
252015,-7002.416696,-5557.08781706808,-6925.8570180204815,-8514.925069499895
252016,-7065.784905,-5683.002093465982,-7088.438764074688,-8498.69447743343
252004,-7106.885733,-5431.649270935005,-7100.106836256103,-8184.464090372285
252000,-7259.629871,-5411.097045065503,-7182.173838434832,-8556.770501645311
252000,-6881.865859,-5441.634012763075,-6807.035524865957,-8291.573396850577
252000,-6960.001727,-5441.888936003433,-7002.814998387367,-8260.186481812018
252002,-6495.390001,-5161.0643637588255,-6415.006419897265,-8062.4197253609955
252013,-6766.144728,-5525.169858362934,-6687.380047281622,-8353.327494670506
252000,-7596.346156,-6071.661398285081,-7709.34705922039,-8948.044114327791
252002,-6850.733471,-5383.328954284569,-6832.840742330353,-8299.14902664398
252000,-7226.971680,-5490.438850234905,-7244.1010252704,-8478.66113523802
252003,-7114.604847,-5500.6633321670315,-7471.451091218046,-8551.333622845386
252000,-7472.706220,-5461.770137231361,-7441.832910940729,-8391.658715201722
252000,-6631.967635,-5296.789614788426,-6632.96689450268,-8051.165474649292
252000,-7037.834908,-5591.62281336151,-7022.461067072104,-8509.151194404716
252014,-6717.558670,-5580.143367471328,-6706.068538309024,-8393.46194454763
252000,-6843.991613,-5111.681111713616,-6821.955488920739,-8168.836275137128
252017,-7025.433074,-5561.140960296663,-6941.517105432188,-8408.896376005383
252014,-7094.793791,-5688.850937929706,-7051.191247620159,-8523.245058912358
252000,-6651.991000,-5302.660989687486,-6740.099797251795,-8241.899820394852
252014,-6916.981793,-5197.646531869653,-6880.5975201800375,-8339.8772410067
252000,-6821.846414,-5299.703843501322,-6825.077985566093,-8027.8548192423095
252008,-6496.897479,-5243.948110936329,-6334.997241511638,-8249.245465956168
252001,-6467.810741,-5323.828867505526,-6350.538690595466,-8283.178098633034
252004,-7413.371363,-5904.629893720322,-7491.837556225561,-8625.853621265369
252000,-7702.545261,-5860.698088055201,-7870.210250843677,-8856.922200404322
252014,-6685.647187,-5321.697340430271,-6684.743654211707,-8083.095225767172
252000,-6616.770942,-5428.395511163689,-6529.119784774367,-8377.201464680536
252000,-7363.710868,-5692.818683958423,-7416.050546466416,-8545.368339336586
252000,-7556.444855,-5636.315648409617,-7532.4547273225435,-8534.306831962573
252000,-7261.808074,-5561.445371607343,-7308.098760486836,-8527.108603057237
252003,-6778.632177,-5303.098477320616,-6756.122012690867,-8204.257528706063
252003,-7341.499421,-5745.19385946251,-7281.101050898034,-8653.612640233137
252030,-6480.285756,-5208.570780823683,-6524.528545963075,-8109.515314620412
252000,-7172.734109,-5423.002969287928,-7400.7770960901935,-8278.784536290208
252000,-7019.544093,-5498.405269877471,-6977.461582891016,-8405.309897098867
252017,-7269.869014,-5838.199076314454,-7210.825302544591,-8654.018986977415
252000,-7256.128705,-5448.3080469320275,-7555.890397386339,-8515.719570060272
252000,-7262.807904,-5454.7414643816865,-7335.779840058603,-8432.831622221713
252000,-7237.376366,-5914.151675158916,-7327.895265867076,-8721.333871500876
252000,-7606.980841,-5752.6791540646045,-7603.632469256966,-8487.962764527227
252000,-7248.691281,-5435.880873162575,-7211.658146990388,-8463.649837382633
252000,-7228.938475,-5427.075136048723,-7349.031369716519,-8356.412957035645
252000,-7320.846336,-5783.151994083352,-7327.46689539588,-8577.383536015132
252000,-7351.963826,-5560.552143285832,-7496.778919469002,-8371.48919756002
252000,-7208.434013,-5619.01219767903,-7150.378523441678,-8622.89517019964
254,-6480.943350,-5221.115601498232,-6569.577062930924,-8308.80958449283
252003,-7046.730171,-5238.88546024584,-7024.004575125522,-8350.222725968792
252016,-7072.634489,-5653.499624319699,-7206.819840359881,-8533.604271035496
252000,-7037.543560,-5312.360014964567,-6987.35127100774,-8301.205401823767
252000,-7287.674332,-5652.280604998356,-7264.292467754663,-8597.141156123043
252003,-7638.312872,-5926.459196084661,-7649.121765880328,-8835.467827917364
252000,-7074.346560,-5289.587831447108,-7039.758233736183,-8450.63425124796
252000,-6846.546495,-5486.947997669846,-6831.815597043442,-8475.05789540159
252000,-6922.833673,-5189.478183412155,-6904.173623883421,-8038.583481332038
252000,-7115.984817,-5374.40147558698,-7298.2029487946265,-8416.979748010397
252008,-6796.485894,-5221.093297558648,-6897.513396829669,-8127.779554171275
252017,-7103.155219,-5356.74357506008,-7039.146587121383,-8223.30288810385
38916,-6777.564441,-5615.588673517103,-6686.264405814398,-8645.476095856367
252000,-7246.160226,-5554.321915620745,-7158.992255269343,-8494.733664906653
252000,-7004.230818,-5466.201314647886,-7260.501222941127,-8448.422645296616
252000,-7342.654496,-5534.191091955895,-7295.683118621411,-8250.055331522944
252000,-7162.360547,-5646.141334603849,-7179.274032305622,-8477.855845507322
252000,-7710.365294,-5633.001113186513,-7703.7827063284985,-8542.004343800054
252000,-6784.426233,-5140.490170002786,-6973.185978584907,-8281.486305859213
252000,-6722.499804,-5361.189143587956,-6839.671318053967,-8300.641479872625
252015,-6703.035957,-5452.054242577107,-6595.208431828682,-8345.493969444902
